Place,lat,lon,attribution,attribution_license,attribution_url
Fuentes,39.9503682,-2.0210007,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fürstenberg,51.1719228,8.8340576,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fürstenfeldbruck,48.1794705,11.2547202,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gandersheim,51.8704732,10.0297839,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genf,46.2017559,6.1466014,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Genua,44.40726,8.9338624,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gibraltar,36.140807,-5.3541295,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Glogau,51.6636791,16.0935567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Goslar,51.9059936,10.4266284,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gotha,50.9494849,10.7014435,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Graupen,50.6847005,13.8577518,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Greifswald,54.095791,13.3815238,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Großburgwedel,52.4914501,9.856156,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gundelsheim,49.2844,9.16194,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Göhrde,53.1130679,10.8339844095573,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Göteborg,57.7072326,11.9670171,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Güstrow,53.79985,12.174457,,,
Hackelberg,51.8216625,8.994578,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Halle,51.4825041,11.9705452,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hamburg,53.550341,10.000654,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hammerstein,50.4791213,7.3484233,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hannover,52.3744779,9.7385532,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Harburg,53.4562216,9.9872112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Heidelberg,49.4093582,8.694724,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Helmstedt,52.2277037,11.0104702,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Herford,52.1152245,8.6711118,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Herrenhausen,52.409444,9.667778,asd,a,b
Herzberg,51.6565219,10.3428415,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hildesheim,52.1521636,9.9513046,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Homburg,49.3181673,7.3340336,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hundisburg,52.246722,11.4001176,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Idria,46.0023983,14.0273014,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ingenheim,48.7351268,7.5193525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Innsbruck,47.2654296,11.3927685,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jena,50.9281717,11.5879359,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jerusalem,31.7788242,35.2257626,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kairo,30.0443879,31.2357257,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlsbad,50.2306216,12.8701437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kasan,55.7823547,49.1242266,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kassel,51.3154546,9.4924096,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kehl,48.5728929,7.8109768,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kiel,54.3227085,10.135555,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kiew,50.4500336,30.5241361,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kliszów,50.6164912,20.5216504,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kniphausen,53.5536431,8.0552525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Koblenz,50.3533278,7.5943951,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Konstantinopel,41.006381,28.9758715,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kopenhagen,55.6867243,12.5700724,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Krakau,50.0619474,19.9368564,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kärnten,46.9065611,13.5359844,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Köln,50.938361,6.959974,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königsberg,54.700767,20.491625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königsmarck,53.6004642,9.4709801,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Königstein,50.9185261,14.0732271,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Köpenick,52.4450491,13.5754153,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lamspringe,51.9597621,10.009887,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Landsberg,51.5253758,12.1624395,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lauenburg,53.3789803,10.5513889,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Laxenburg,48.0686831,16.3561206,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lehnin,52.3173613,12.7437812,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Leipzig,51.3406321,12.3747329,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lenzen,53.0899,11.0095,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linsburg,52.5936072,9.3040316,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linz,48.3059078,14.286198,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loccum,52.4546364,9.1462122,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
London,51.5074456,-0.1277653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Loreto,43.439498,13.6070214,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lyon,45.7578137,4.8320114,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lübeck,53.866444,10.684738,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüneborg,53.248706,10.407855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüneburg,53.248706,10.407855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lüttich,50.6450944,5.5736112,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maastricht,50.8512438,5.6909768,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madrid,40.4167047,-3.7035825,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Magdeburg,52.1315889,11.6399609,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mailand,45.4641943,9.1896346,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maintenon,48.5865517,1.5773313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mainz,50.0012314,8.2762513,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malchow,53.483907,12.44271993467909,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malta,35.879283,14.448415,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mantua,45.1566683,10.7917191,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marienbad,49.9739518,12.703319,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marlborough,51.420753,-1.727615,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Martinitz,50.5808469,15.5333055,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maubuisson,45.0652957,-1.1387859,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meaux,48.9582708,2.8773541,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mecklenburg,53.627685,11.396712,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Melle,52.200762,8.338667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Memel,55.7127529,21.1350469,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Merseburg,51.3564413,11.996148,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Meseritz,52.4448261,15.578637,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Modena,44.6458885,10.9255707,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Monferrato,45.132564,8.454939,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Monmouth,51.810955,-2.716801,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Montepulciano,43.0945279,11.7826795,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Moskau,55.7505412,37.6174782,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
München,48.1371079,11.5753822,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Münster,51.9625101,7.6251879,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Namur,50.4665284,4.8661892,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nassau,50.310324,7.792458,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nauplia,37.5659229,22.8068782,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neapel,40.8358846,14.2487679,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neuburg,53.9449473,11.5903337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Newcastle,54.9738474,-1.6131572,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nienburg,52.6410849,9.2181918,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nimwegen,51.8474946,5.8637771,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nizza,43.7009358,7.2683912,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nola,40.9210826,14.5327402,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nordhausen,51.5051574,10.7925317,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nürnberg,49.453872,11.077298,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oeynhausen,51.8140047,9.0527942,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Oldenburg,53.1389753,8.2146017,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
