Place,Count,lat,lon,attribution,attribution_license,attribution_url
Saint Cyr,1,49.4877114,-1.4194777,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Saint-Germain,4,48.4324928,6.3386744,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salisbury,1,51.0690613,-1.7954134,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salm,13,50.152507,6.6903569,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Salm,13,51.85066,6.819067,,,
Salzdahlum,1,52.20291715,10.587637332989852,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Savoyen,1,45.674003,6.318783,,,
Schlesien,1,51.100086,17.018497,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schottland,4,56.669726,-4.194318,,,
Schulenburg,7,52.4419685,9.6734712,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schweden,28,59.6749712,14.5208584,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schwedt,1,53.0586366,14.2840858,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schönhausen,1,52.5824785,12.0378139,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sesto,2,46.7027433,12.350544,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shrewsbury,1,52.707755,-2.7540658,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Soest,1,49.6242727,6.4610947,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Spanien,8,39.3260685,-4.8379791,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Stamford,8,52.653656,-0.483421,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sulzbach,2,50.302682,7.7518932,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tangermünde,1,52.5431104,11.9722524,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Torgau,2,51.5581272,13.0046538,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Toskana,1,43.4586541,11.1389204,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Turku,1,60.447147,22.255734,,,
Tönning,1,54.3188928,8.9437049,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ulm,1,48.3984968,9.9912458,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ungarn,2,47.1817585,19.5060937,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ursel,18,51.6545671,6.4104753,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Venedig,3,45.4371908,12.3345898,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vesuv,1,40.8213963,14.4261967,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wales,10,52.2928116,-3.73893,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wangenheim,2,51.0194279,10.6251214,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Warschau,1,52.2319581,21.0067249,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wartenberg,13,52.6380786,11.5103221,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wesel,1,51.6576909,6.617087,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Weyhausen,1,52.4627787,10.7193022,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wien,40,48.2083537,16.3725042,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wildeshausen,2,52.897103,8.4364342,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wolfenbüttel,22,52.1625283,10.5348215,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Württemberg,3,48.605915,9.147881,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Zell,1,50.7305045,9.1955275,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zweibrücken,3,49.248655,7.3641981,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ägypten,1,26.2540493,29.2675469,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
